captured_utc,player,market,side,line,odds
2026-06-24T10:26:26+00:00,natasha howard,pa,Under,18.5,1.8
2026-06-24T10:26:26+00:00,natasha howard,ra,Over,9.5,1.67
2026-06-24T10:26:26+00:00,natasha howard,ra,Under,9.5,2.1
2026-06-24T10:26:26+00:00,natasha howard,reb,Over,6.5,1.63
2026-06-24T10:26:26+00:00,natasha howard,reb,Under,6.5,2.15
2026-06-24T10:26:26+00:00,natasha howard,ast,Over,2.5,1.6
2026-06-24T10:26:26+00:00,natasha howard,ast,Under,2.5,2.2
2026-06-24T10:26:26+00:00,natasha howard,pra,Over,25.5,1.87
2026-06-24T10:26:26+00:00,natasha howard,pra,Under,25.5,1.909
2026-06-24T10:26:26+00:00,michaela onyenwere,pts,Over,8.5,1.8
2026-06-24T10:26:26+00:00,michaela onyenwere,pts,Under,8.5,2.0
2026-06-24T10:26:26+00:00,michaela onyenwere,pr,Over,11.5,1.73
2026-06-24T10:26:26+00:00,michaela onyenwere,pr,Under,11.5,2.0
2026-06-24T10:26:26+00:00,michaela onyenwere,reb,Over,2.5,1.62
2026-06-24T10:26:26+00:00,michaela onyenwere,reb,Under,2.5,2.15
2026-06-24T10:26:26+00:00,sonia citron,pts,Over,15.5,1.952
2026-06-24T10:26:26+00:00,sonia citron,pts,Under,15.5,1.833
2026-06-24T10:26:26+00:00,sonia citron,pr,Over,18.5,1.8
2026-06-24T10:26:26+00:00,sonia citron,pr,Under,18.5,1.91
2026-06-24T10:26:26+00:00,sonia citron,pa,Over,18.5,1.83
2026-06-24T10:26:26+00:00,sonia citron,pa,Under,18.5,1.83
2026-06-24T10:26:26+00:00,sonia citron,ra,Over,6.5,1.91
2026-06-24T10:26:26+00:00,sonia citron,ra,Under,6.5,1.8
2026-06-24T10:26:26+00:00,sonia citron,reb,Over,3.5,2.13
2026-06-24T10:26:26+00:00,sonia citron,reb,Under,3.5,1.63
2026-06-24T10:26:26+00:00,sonia citron,ast,Over,3.5,2.15
2026-06-24T10:26:26+00:00,sonia citron,ast,Under,3.5,1.62
2026-06-24T10:26:26+00:00,sonia citron,pra,Over,22.5,1.952
2026-06-24T10:26:26+00:00,sonia citron,pra,Under,22.5,1.833
2026-06-24T10:26:26+00:00,lauren betts,pts,Over,6.5,2.2
2026-06-24T10:26:26+00:00,lauren betts,pts,Under,6.5,1.667
2026-06-24T10:26:26+00:00,lauren betts,reb,Over,2.5,1.57
2026-06-24T10:26:26+00:00,lauren betts,reb,Under,2.5,2.25
2026-06-24T10:26:26+00:00,shakira austin,pts,Over,12.5,2.02
2026-06-24T10:26:26+00:00,shakira austin,pts,Under,12.5,1.769
2026-06-24T10:26:26+00:00,shakira austin,pr,Over,19.5,1.83
2026-06-24T10:26:26+00:00,shakira austin,pr,Under,19.5,1.83
2026-06-24T10:26:26+00:00,shakira austin,pa,Over,14.5,1.73
2026-06-24T10:26:26+00:00,shakira austin,pa,Under,14.5,2.0
2026-06-24T10:26:26+00:00,shakira austin,ra,Over,9.5,1.73
2026-06-24T10:26:26+00:00,shakira austin,ra,Under,9.5,2.0
2026-06-24T10:26:26+00:00,shakira austin,reb,Over,7.5,2.05
2026-06-24T10:26:26+00:00,shakira austin,reb,Under,7.5,1.68
2026-06-24T10:26:26+00:00,shakira austin,pra,Over,22.5,2.0
2026-06-24T10:26:26+00:00,shakira austin,pra,Under,22.5,1.73
2026-06-24T10:26:26+00:00,nia coffey,pts,Over,7.5,1.741
2026-06-24T10:26:26+00:00,nia coffey,pts,Under,7.5,2.05
2026-06-24T10:26:26+00:00,nia coffey,pr,Over,14.5,1.91
2026-06-24T10:26:26+00:00,nia coffey,pr,Under,14.5,1.8
2026-06-24T10:26:26+00:00,nia coffey,pa,Over,10.5,1.73
2026-06-24T10:26:26+00:00,nia coffey,pa,Under,10.5,2.0
2026-06-24T10:26:26+00:00,nia coffey,ra,Over,8.5,2.1
2026-06-24T10:26:26+00:00,nia coffey,ra,Under,8.5,1.67
2026-06-24T10:26:26+00:00,nia coffey,reb,Over,5.5,1.67
2026-06-24T10:26:26+00:00,nia coffey,reb,Under,5.5,2.02
2026-06-24T10:26:26+00:00,nia coffey,pra,Over,16.5,1.73
2026-06-24T10:26:26+00:00,nia coffey,pra,Under,16.5,2.0
2026-06-24T10:26:26+00:00,olivia miles,pts,Over,18.5,1.952
2026-06-24T10:26:26+00:00,olivia miles,pts,Under,18.5,1.833
2026-06-24T10:26:26+00:00,olivia miles,pr,Over,23.5,1.91
2026-06-24T10:26:26+00:00,olivia miles,pr,Under,23.5,1.8
2026-06-24T10:26:26+00:00,olivia miles,pa,Over,24.5,1.83
2026-06-24T10:26:26+00:00,olivia miles,pa,Under,24.5,1.83
2026-06-24T10:26:26+00:00,olivia miles,ra,Over,10.5,1.8
2026-06-24T10:26:26+00:00,olivia miles,ra,Under,10.5,1.91
2026-06-24T10:26:26+00:00,olivia miles,reb,Over,4.5,1.72
2026-06-24T10:26:26+00:00,olivia miles,reb,Under,4.5,2.0
2026-06-24T10:26:26+00:00,olivia miles,ast,Over,5.5,1.7
2026-06-24T10:26:26+00:00,olivia miles,ast,Under,5.5,2.02
2026-06-24T10:26:26+00:00,olivia miles,pra,Over,29.5,1.952
2026-06-24T10:26:26+00:00,olivia miles,pra,Under,29.5,1.833
2026-06-24T10:26:26+00:00,kiki iriafen,pts,Over,14.5,2.0
2026-06-24T10:26:26+00:00,kiki iriafen,pts,Under,14.5,1.8
2026-06-24T10:26:26+00:00,kiki iriafen,pr,Over,22.5,2.0
2026-06-24T10:26:26+00:00,kiki iriafen,pr,Under,22.5,1.73
2026-06-24T10:26:26+00:00,kiki iriafen,pa,Over,15.5,1.73
2026-06-24T10:26:26+00:00,kiki iriafen,pa,Under,15.5,2.0
2026-06-24T10:26:26+00:00,kiki iriafen,ra,Over,9.5,1.83
2026-06-24T10:26:26+00:00,kiki iriafen,ra,Under,9.5,1.8
2026-06-24T10:26:26+00:00,kiki iriafen,reb,Over,7.5,1.7
2026-06-24T10:26:26+00:00,kiki iriafen,reb,Under,7.5,2.02
2026-06-24T10:26:26+00:00,kiki iriafen,pra,Over,23.5,1.73
2026-06-24T10:26:26+00:00,kiki iriafen,pra,Under,23.5,2.0
2026-06-24T10:26:26+00:00,skylar diggins,pts,Over,15.5,1.952
2026-06-24T10:26:26+00:00,skylar diggins,pts,Under,15.5,1.833
2026-06-24T10:26:26+00:00,skylar diggins,pr,Over,17.5,1.73
2026-06-24T10:26:26+00:00,skylar diggins,pr,Under,17.5,2.0
2026-06-24T10:26:26+00:00,skylar diggins,pa,Over,20.5,1.83
2026-06-24T10:26:26+00:00,skylar diggins,pa,Under,20.5,1.83
2026-06-24T10:26:26+00:00,skylar diggins,ra,Over,8.5,2.1
2026-06-24T10:26:26+00:00,skylar diggins,ra,Under,8.5,1.67
2026-06-24T10:26:26+00:00,skylar diggins,reb,Over,2.5,1.65
2026-06-24T10:26:26+00:00,skylar diggins,reb,Under,2.5,2.1
2026-06-24T10:26:26+00:00,skylar diggins,ast,Over,5.5,2.02
2026-06-24T10:26:26+00:00,skylar diggins,ast,Under,5.5,1.7
2026-06-24T10:26:26+00:00,skylar diggins,pra,Over,23.5,2.0
2026-06-24T10:26:26+00:00,skylar diggins,pra,Under,23.5,1.8
2026-06-24T10:26:26+00:00,azura stevens,pts,Over,10.5,1.87
2026-06-24T10:26:26+00:00,azura stevens,pts,Under,10.5,1.909
2026-06-24T10:26:26+00:00,azura stevens,pr,Over,18.5,2.0
2026-06-24T10:26:26+00:00,azura stevens,pr,Under,18.5,1.73
2026-06-24T10:26:26+00:00,azura stevens,pa,Over,13.5,1.91
2026-06-24T10:26:26+00:00,azura stevens,pa,Under,13.5,1.8
2026-06-24T10:26:26+00:00,azura stevens,ra,Over,9.5,2.0
2026-06-24T10:26:26+00:00,azura stevens,ra,Under,9.5,1.73
2026-06-24T10:26:26+00:00,azura stevens,reb,Over,6.5,1.67
2026-06-24T10:26:26+00:00,azura stevens,reb,Under,6.5,2.07
2026-06-24T10:26:26+00:00,azura stevens,pra,Over,20.5,1.83
2026-06-24T10:26:26+00:00,azura stevens,pra,Under,20.5,1.83
2026-06-24T10:26:26+00:00,natasha cloud,pts,Over,8.5,1.87
2026-06-24T10:26:26+00:00,natasha cloud,pts,Under,8.5,1.909
2026-06-24T10:26:26+00:00,natasha cloud,pa,Over,12.5,1.73
2026-06-24T10:26:26+00:00,natasha cloud,pa,Under,12.5,2.0
2026-06-24T10:26:26+00:00,natasha cloud,ra,Over,7.5,1.83
2026-06-24T10:26:26+00:00,natasha cloud,ra,Under,7.5,1.83
2026-06-24T10:26:26+00:00,natasha cloud,reb,Over,3.5,2.05
2026-06-24T10:26:26+00:00,natasha cloud,reb,Under,3.5,1.68
2026-06-24T10:26:26+00:00,natasha cloud,ast,Over,4.5,2.15
2026-06-24T10:26:26+00:00,natasha cloud,ast,Under,4.5,1.62
2026-06-24T10:26:26+00:00,natasha cloud,pra,Over,15.5,1.87
2026-06-24T10:26:26+00:00,natasha cloud,pra,Over,16.5,1.83
2026-06-24T10:26:26+00:00,natasha cloud,pra,Under,15.5,1.909
2026-06-24T10:26:26+00:00,natasha cloud,pra,Under,16.5,1.83
2026-06-24T10:26:26+00:00,bridget carleton,pts,Over,12.5,1.87
2026-06-24T10:26:26+00:00,bridget carleton,pts,Under,12.5,1.909
2026-06-24T10:26:26+00:00,bridget carleton,pr,Over,16.5,1.91
2026-06-24T10:26:26+00:00,bridget carleton,pr,Under,16.5,1.8
2026-06-24T10:26:26+00:00,bridget carleton,reb,Over,3.5,2.15
2026-06-24T10:26:26+00:00,bridget carleton,reb,Under,3.5,1.62
2026-06-24T10:26:26+00:00,bridget carleton,pra,Over,18.5,1.83
2026-06-24T10:26:26+00:00,bridget carleton,pra,Under,18.5,1.83
2026-06-24T10:26:26+00:00,emily engstler,pts,Over,8.5,1.8
2026-06-24T10:26:26+00:00,emily engstler,pts,Under,8.5,2.0
2026-06-24T10:26:26+00:00,emily engstler,pr,Over,14.5,2.0
2026-06-24T10:26:26+00:00,emily engstler,pr,Under,14.5,1.73
2026-06-24T10:26:26+00:00,emily engstler,reb,Over,4.5,1.6
2026-06-24T10:26:26+00:00,emily engstler,reb,Under,4.5,2.2
2026-06-24T10:26:26+00:00,kamilla cardoso,pts,Over,14.5,2.1
2026-06-24T10:26:26+00:00,kamilla cardoso,pts,Under,14.5,1.714
2026-06-24T10:26:26+00:00,kamilla cardoso,pr,Over,21.5,1.83
2026-06-24T10:26:26+00:00,kamilla cardoso,pr,Under,21.5,1.83
2026-06-24T10:26:26+00:00,kamilla cardoso,pa,Over,15.5,1.73
2026-06-24T10:26:26+00:00,kamilla cardoso,pa,Under,15.5,2.0
2026-06-24T10:26:26+00:00,kamilla cardoso,ra,Over,10.5,1.73
2026-06-24T10:26:26+00:00,kamilla cardoso,ra,Under,10.5,2.0
2026-06-24T10:26:26+00:00,kamilla cardoso,pra,Over,24.5,1.952
2026-06-24T10:26:26+00:00,kamilla cardoso,pra,Under,24.5,1.833
2026-06-24T10:26:26+00:00,carla leite,pts,Over,14.5,1.952
2026-06-24T10:26:26+00:00,carla leite,pts,Under,14.5,1.833
2026-06-24T10:26:26+00:00,carla leite,pr,Over,16.5,1.73
2026-06-24T10:26:26+00:00,carla leite,pr,Under,16.5,2.0
2026-06-24T10:26:26+00:00,carla leite,pa,Over,20.5,1.83
2026-06-24T10:26:26+00:00,carla leite,pa,Under,20.5,1.83
2026-06-24T10:26:26+00:00,carla leite,ra,Over,8.5,1.83
2026-06-24T10:26:26+00:00,carla leite,ra,Under,8.5,1.83
2026-06-24T10:26:26+00:00,carla leite,ast,Over,6.5,2.1
2026-06-24T10:26:26+00:00,carla leite,ast,Under,6.5,1.65
2026-06-24T10:26:26+00:00,carla leite,pra,Over,23.5,2.0
2026-06-24T10:26:26+00:00,carla leite,pra,Under,23.5,1.73
2026-06-24T10:26:26+00:00,megan gustafson,pts,Over,14.5,2.0
2026-06-24T10:26:26+00:00,megan gustafson,pts,Under,14.5,1.8
2026-06-24T10:26:26+00:00,megan gustafson,pr,Over,19.5,1.83
2026-06-24T10:26:26+00:00,megan gustafson,pr,Under,19.5,1.83
2026-06-24T10:26:26+00:00,megan gustafson,reb,Over,5.5,2.2
2026-06-24T10:26:26+00:00,megan gustafson,reb,Under,5.5,1.6
2026-06-24T10:26:26+00:00,sarah ashlee barker,pts,Over,11.5,1.952
2026-06-24T10:26:26+00:00,sarah ashlee barker,pts,Under,11.5,1.833
2026-06-24T10:26:26+00:00,sarah ashlee barker,pa,Over,14.5,1.83
2026-06-24T10:26:26+00:00,sarah ashlee barker,pa,Under,14.5,1.83
2026-06-24T10:26:26+00:00,sarah ashlee barker,ra,Over,7.5,1.8
2026-06-24T10:26:26+00:00,sarah ashlee barker,ra,Under,7.5,1.91
2026-06-24T10:26:26+00:00,sarah ashlee barker,reb,Over,4.5,1.67
2026-06-24T10:26:26+00:00,sarah ashlee barker,reb,Under,4.5,2.07
2026-06-24T10:26:26+00:00,sarah ashlee barker,ast,Over,2.5,1.6
2026-06-24T10:26:26+00:00,sarah ashlee barker,ast,Under,2.5,2.2
2026-06-24T10:26:26+00:00,sarah ashlee barker,pra,Over,18.5,1.8
2026-06-24T10:26:26+00:00,sarah ashlee barker,pra,Over,19.5,1.91
2026-06-24T10:26:26+00:00,sarah ashlee barker,pra,Under,18.5,2.0
2026-06-24T10:26:26+00:00,sarah ashlee barker,pra,Under,19.5,1.8
2026-06-24T10:26:26+00:00,gabriela jaquez,pts,Over,9.5,1.87
2026-06-24T10:26:26+00:00,gabriela jaquez,pts,Under,9.5,1.909
2026-06-24T10:26:26+00:00,gabriela jaquez,pr,Over,13.5,1.8
2026-06-24T10:26:26+00:00,gabriela jaquez,pr,Under,13.5,1.91
2026-06-24T10:26:26+00:00,gabriela jaquez,reb,Over,3.5,1.62
2026-06-24T10:26:26+00:00,gabriela jaquez,reb,Under,3.5,2.15
2026-06-24T10:26:26+00:00,sydney taylor,pts,Over,15.5,1.909
2026-06-24T10:26:26+00:00,sydney taylor,pts,Under,15.5,1.87
2026-06-24T10:26:26+00:00,cecilia zandalasini,pts,Over,8.5,1.79
2026-06-24T10:26:26+00:00,cecilia zandalasini,pts,Under,8.5,1.79
2026-06-24T10:26:26+00:00,cecilia zandalasini,pra,Over,12.5,1.8
2026-06-24T10:26:26+00:00,cecilia zandalasini,pra,Under,12.5,1.91
2026-06-24T10:26:26+00:00,allisha gray,pts,Over,17.5,1.79
2026-06-24T10:26:26+00:00,allisha gray,pts,Under,17.5,1.79
2026-06-24T10:26:26+00:00,allisha gray,pr,Over,21.5,2.0
2026-06-24T10:26:26+00:00,allisha gray,pr,Under,21.5,1.73
2026-06-24T10:26:26+00:00,allisha gray,pra,Over,23.5,1.83
2026-06-24T10:26:26+00:00,allisha gray,pra,Under,23.5,1.83
2026-06-24T10:26:26+00:00,kayla thornton,pts,Over,7.5,1.67
2026-06-24T10:26:26+00:00,kayla thornton,pts,Under,7.5,1.93
2026-06-24T10:26:26+00:00,kayla thornton,pr,Over,13.5,2.0
2026-06-24T10:26:26+00:00,kayla thornton,pr,Under,13.5,1.73
2026-06-24T10:26:26+00:00,kayla thornton,reb,Over,5.5,2.15
2026-06-24T10:26:26+00:00,kayla thornton,reb,Under,5.5,1.62
2026-06-24T10:26:26+00:00,jordin canada,pts,Over,10.5,1.707
2026-06-24T10:26:26+00:00,jordin canada,pts,Under,10.5,1.883
2026-06-24T10:26:26+00:00,jordin canada,pr,Over,14.5,2.0
2026-06-24T10:26:26+00:00,jordin canada,pr,Under,14.5,1.73
2026-06-24T10:26:26+00:00,jordin canada,pa,Over,17.5,2.0
2026-06-24T10:26:26+00:00,jordin canada,pa,Under,17.5,1.73
2026-06-24T10:26:26+00:00,jordin canada,ra,Over,9.5,1.73
2026-06-24T10:26:26+00:00,jordin canada,ra,Under,9.5,2.0
2026-06-24T10:26:26+00:00,jordin canada,reb,Over,3.5,2.05
2026-06-24T10:26:26+00:00,jordin canada,reb,Under,3.5,1.68
2026-06-24T10:26:26+00:00,jordin canada,ast,Over,6.5,2.05
2026-06-24T10:26:26+00:00,jordin canada,ast,Under,6.5,1.68
2026-06-24T10:26:26+00:00,jordin canada,pra,Over,20.5,1.833
2026-06-24T10:26:26+00:00,jordin canada,pra,Under,20.5,1.952
2026-06-24T10:26:26+00:00,gabby williams,pts,Over,14.5,1.707
2026-06-24T10:26:26+00:00,gabby williams,pts,Under,14.5,1.883
