captured_utc,matchup_id,start,teams,type,side,points,prices
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,spread,,-10.0,"105,-141"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,spread,,-10.5,"117,-159"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,159.5,"-118,-112"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,158.0,"-157,115"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,158.5,"-144,107"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,159.0,"-131,-102"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,160.0,"-108,-123"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,160.5,"101,-135"
2026-07-11T18:33:38Z,1632470967,2026-07-11T17:00,Minnesota Lynx|New York Liberty,total,,161.0,"108,-147"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,moneyline,,,"-365,295"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,team_total,away,80.5,"-110,-110"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-9.0,"100,-117"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-7.5,"-130,107"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-8.0,"-120,-100"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-8.5,"-111,-109"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-9.5,"108,-131"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-10.0,"117,-142"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,spread,,-10.5,"127,-154"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,total,,169.5,"-102,-118"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,total,,168.5,"-120,-109"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,total,,169.0,"-113,-115"
2026-07-11T19:31:10Z,1632336424,2026-07-11T22:00,Las Vegas Aces|Phoenix Mercury,total,,170.5,"107,-140"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,moneyline,,,"-848,621"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,team_total,home,93.0,"-118,-103"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,team_total,away,80.0,"-111,-109"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,173.5,"-112,-108"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,172.0,"-135,107"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,172.5,"-129,102"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,174.0,"-108,-116"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,174.5,"-103,-122"
2026-07-11T19:31:10Z,1632339837,2026-07-11T20:00,Atlanta Dream|Portland Fire,total,,175.0,"103,-130"
