logged_utc,date,player,market,side,line,price,orig_src,orig_move,actual,result,ret
2026-08-15T12:56:17Z,2026-08-15,Erica Wheeler,pa,Under,14.5,1.8,flip,0.0437,8.0,WIN,0.8
2026-08-15T12:56:17Z,2026-08-15,Cameron Brink,pra,Under,14.5,1.83,cascade,0.0167,,,
2026-08-15T15:39:35Z,2026-08-15,Breanna Stewart,pts,Over,21.5,1.75,newunder,0.0263,11.0,loss,-1.0
2026-08-15T16:11:01Z,2026-08-15,Bridget Carleton,pts,Over,16.5,1.83,newunder,0.0275,,,
2026-08-15T20:57:31Z,2026-08-15,Caitlin Clark,pts,Under,21.5,2.0,flip_paper,0.0225,,,
2026-08-15T20:57:31Z,2026-08-15,Kahleah Copper,pts,Over,21.5,1.769,newunder,0.0256,,,
2026-08-15T20:57:31Z,2026-08-15,Megan DiLeo,pts,Under,13.5,2.0,flip_paper,0.0109,,,
2026-08-16T00:07:17Z,2026-08-15,Kamilla Cardoso,pts,Over,14.5,1.88,newunder,0.033,,,
2026-08-16T06:10:36Z,2026-08-15,Courtney Vandersloot,pra,Under,17.5,1.73,cascade,0.1429,,,
2026-08-16T07:55:22Z,2026-08-16,Bridget Carleton,pts,Over,16.5,1.83,newunder,0.0275,,,
2026-08-16T08:28:49Z,2026-08-16,Kahleah Copper,pts,Over,21.5,1.82,newunder,0.0108,,,
