game_id,date,season,home,away,home_score,away_score,ml_h,ml_a,spread,sp_h,sp_a,total,ou_o,ou_u,n_bk_sp,n_bk_ou,home_margin,game_total,home_won,home_covered,over_hit,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv,mkt,ats
401620230,20240518,2024,PHX,ATL,88,85,2.13,1.71,-1.5,2.21,1.67,170.5,1.92,1.87,6,7,3,173,1,1.0,1.0,-0.0543,-0.0576,-110.6,-5.079,1.0,0.0,-12.12,-5.13,164.3,-0.001,-0.0287,-0.0663,0.0508,0.0112,-1.22,0.2656,-0.5025,0.0019,-0.4233,1.6416,-0.0297,-0.4727,0.1766,2.0,-0.0297,0.1119,-0.1678,-0.1547,-0.2034,165.35,1.5,1.5
401620231,20240519,2024,WSH,SEA,75,84,2.73,1.45,4.5,1.91,1.9,160.5,1.87,1.91,6,7,-9,159,0,0.0,0.0,0.1032,0.205,51.3,-2.444,0.0,0.0,-4.21,-4.89,168.74,-0.0291,-0.0111,-0.0629,0.0649,0.0191,-1.29,0.0445,0.2344,0.2506,0.1265,2.5214,-0.0616,-0.0587,-0.0102,1.0,0.04,0.0318,-0.1738,-0.2842,-0.199,165.38,-4.5,-4.5
401620232,20240520,2024,IND,CON,84,88,2.79,1.43,4.5,2.0,1.79,163.5,1.89,1.91,6,7,-4,172,0,1.0,1.0,-0.329,-0.38,-155.2,-1.322,-1.0,0.0,-18.13,4.25,160.96,0.0621,-0.0324,0.0593,0.012,-0.0187,-0.84,-0.0877,-0.4163,-0.2474,-0.6517,0.2998,-0.0042,0.7741,-0.2326,0.0,-0.0738,-0.4071,-0.1008,0.007,-0.5104,165.09,-4.5,0.5
401620233,20240520,2024,NY,SEA,74,63,1.08,8.04,-12.5,1.77,2.04,165.5,1.89,1.91,6,7,11,137,1,0.0,0.0,0.3327,0.5272,207.9,-0.281,1.0,-1.0,2.95,-5.54,168.32,-0.0089,0.0088,-0.0679,0.0917,0.0345,-1.19,0.2084,0.3847,0.4929,0.5875,-2.9085,-0.0481,1.4393,0.0829,2.0,0.235,0.2564,0.0336,-0.0935,0.4972,165.1,12.5,-1.5
401620234,20240521,2024,ATL,DAL,83,78,1.39,2.99,-5.5,1.83,1.96,168.5,1.87,1.91,6,7,5,161,1,0.0,0.0,-0.066,-0.0448,-70.0,1.875,0.0,0.0,-1.2,0.35,169.45,-0.0067,-0.1005,0.0604,0.0059,0.0461,-3.14,-0.3595,0.4479,-0.0489,-0.016,0.3874,0.0299,-2.0764,-0.0819,0.0,-0.0365,0.0948,-0.2835,0.2182,0.0284,164.97,5.5,-0.5
401620235,20240521,2024,LV,PHX,88,98,1.08,7.84,-14.5,1.98,1.83,171.5,1.81,2.0,6,7,-10,186,0,0.0,1.0,0.4087,0.4317,297.6,6.23,0.0,0.0,22.76,0.75,162.05,-0.0096,0.0323,0.0468,0.0443,-0.0528,-0.26,-0.027,0.588,0.2492,0.7757,-5.8719,0.0782,-0.684,-0.1723,0.0,0.1295,-0.0696,0.2708,0.0222,0.408,164.78,14.5,-24.5
401620236,20240521,2024,LA,WSH,70,68,1.73,2.1,-3.5,2.08,1.75,158.5,1.91,1.89,6,7,2,138,1,0.0,0.0,-0.0862,0.0334,31.5,0.172,1.0,0.0,5.93,-0.2,164.44,0.0158,0.0636,0.0557,-0.0625,0.0225,0.51,0.1727,-0.2578,0.2199,0.1648,-4.7022,0.0159,-0.8911,-0.0441,0.0,0.188,-0.0229,0.0048,0.0832,0.2074,165.03,3.5,-1.5
401620237,20240522,2024,SEA,IND,85,83,1.38,3.03,-5.5,1.88,1.94,163.5,1.85,2.04,6,7,2,168,1,0.0,1.0,0.0623,0.0644,15.3,3.566,0.0,0.0,13.14,3.86,168.02,-0.0116,0.0066,0.0204,-0.014,-0.0257,1.64,-0.1283,0.2709,-0.18,0.2337,0.2375,0.0337,-0.7339,0.0124,0.0,-0.0221,0.1773,0.1535,0.2207,0.3336,164.75,5.5,-3.5
401620239,20240523,2024,NY,CHI,81,90,1.06,9.75,-16.5,1.9,1.9,165.5,1.76,2.01,6,7,-9,171,0,0.0,1.0,0.2717,0.3627,111.5,-0.276,-2.0,0.0,9.14,-2.18,164.62,0.0115,-0.0419,0.013,0.1047,-0.037,-1.71,0.0054,0.4522,0.1934,0.4999,-3.2741,0.0314,-0.0628,-0.1076,2.0,0.1849,0.0368,0.0516,0.0289,0.3112,164.91,16.5,-25.5
401620240,20240523,2024,PHX,WSH,83,80,1.33,3.29,-6.5,1.9,1.91,161.5,1.63,2.13,6,7,3,163,1,0.0,1.0,0.0445,0.0829,-62.7,-2.422,0.0,0.0,0.54,-0.6,163.45,-0.032,-0.0122,-0.0044,-0.0315,0.0682,-1.91,0.1017,-0.0034,0.232,0.0029,-0.755,0.0428,0.2323,0.3016,1.0,0.0359,0.085,-0.0063,0.1972,0.3631,164.91,6.5,-3.5
401620241,20240524,2024,LA,IND,73,78,2.04,1.78,1.5,1.91,1.89,163.5,1.78,2.03,6,7,-5,151,0,0.0,0.0,0.058,0.0766,83.4,-0.625,1.0,0.0,13.21,1.21,162.87,0.0064,-0.0045,0.0481,0.0158,0.0575,1.44,-0.1579,0.2948,0.0329,0.4089,-1.7691,-0.0204,-1.4122,-0.0948,1.0,0.1217,0.0271,-0.1155,-0.2559,-0.2627,164.87,-1.5,-3.5
401620242,20240525,2024,MIN,NY,84,67,3.35,1.33,6.5,1.92,1.89,165.5,1.8,1.95,6,7,17,151,1,1.0,0.0,-0.1119,-0.037,-138.0,-1.605,0.0,0.0,-2.47,3.88,167.27,0.0071,-0.0517,0.0323,-0.0376,0.0104,2.91,-0.1027,0.0136,0.0225,-0.0898,3.1,-0.0451,-0.5974,-0.0751,0.0,0.227,0.2098,-0.1238,0.0028,0.1346,164.85,-6.5,23.5
401620243,20240525,2024,CHI,CON,82,86,2.72,1.46,5.5,1.82,1.95,158.5,1.8,1.99,6,7,-4,168,0,1.0,1.0,-0.1302,-0.1432,-36.5,2.506,0.0,0.0,3.61,2.68,163.61,0.0309,0.0386,-0.0156,0.0082,-0.0009,1.34,0.1397,-0.4178,-0.0939,-0.0092,1.6764,-0.0225,1.7887,-0.0555,0.0,-0.0122,0.0036,0.1378,0.11,0.1259,164.88,-5.5,1.5
401620244,20240525,2024,LV,IND,99,80,1.06,9.4,-15.5,1.86,1.95,172.5,1.74,1.99,6,7,19,179,1,1.0,1.0,0.4361,0.4814,243.1,3.235,3.0,-1.0,18.03,1.35,163.13,-0.0424,-0.0269,0.0318,0.0553,0.0232,-1.84,0.1756,0.3396,0.271,0.6106,-3.8655,0.0544,-1.6964,-0.055,2.0,0.1119,0.1449,0.1006,-0.0286,0.3959,164.74,15.5,3.5
401620245,20240525,2024,SEA,WSH,101,69,1.23,4.07,-8.5,1.88,1.93,159.5,1.9,1.91,6,7,32,170,1,1.0,1.0,-0.0709,-0.0734,-18.6,4.022,1.0,0.0,1.17,2.33,167.7,-0.0092,0.048,0.0191,-0.1069,-0.0344,1.01,-0.1001,0.0495,-0.148,0.045,-1.6273,0.0803,1.0561,0.1293,2.0,-0.0841,0.0169,0.2827,0.4644,0.5334,164.63,8.5,23.5
401620246,20240525,2024,PHX,DAL,92,107,1.49,2.63,-4.5,1.88,1.92,166.5,1.78,2.01,6,7,-15,199,0,0.0,1.0,0.1052,0.1188,-142.4,-1.771,-2.0,0.0,1.4,-1.81,166.47,-0.0188,-0.1218,0.0241,0.1233,0.0606,-2.3,0.0352,0.1099,0.1539,-0.0262,1.2092,0.0232,-2.0924,0.0059,1.0,0.1438,0.2656,-0.3205,0.0441,0.1189,164.66,4.5,-19.5
401620247,20240526,2024,ATL,MIN,79,92,1.54,2.48,-4.5,1.96,1.85,164.5,1.81,2.04,6,7,-13,171,0,0.0,1.0,-0.1368,-0.2466,-23.6,1.371,4.0,-1.0,-6.3,-0.78,168.32,-0.031,0.0284,0.0458,-0.0689,0.0394,-4.54,-0.2447,0.0405,-0.1732,-0.2194,0.2058,-0.0061,-1.4187,0.0921,0.0,-0.3121,-0.3064,-0.0187,0.3053,-0.1703,165.0,4.5,-17.5
401620248,20240526,2024,LA,DAL,83,84,1.75,2.07,1.5,1.69,2.13,160.5,1.74,2.16,6,7,-1,167,0,1.0,1.0,-0.1558,-0.1558,-66.7,-0.94,1.0,-1.0,-4.73,-2.44,166.89,0.0299,-0.1013,0.0782,0.0746,0.0117,-1.98,-0.3129,0.2441,-0.0836,-0.2191,-0.5009,-0.0053,-2.5447,-0.1223,2.0,-0.0297,-0.1728,-0.3401,-0.1067,-0.5416,165.19,-1.5,0.5
