game_id,season,o_elo,o_rest,o_b2b,o_b2bh,o_b2ba,o_form5,o_form10,o_gp,o_eloh,o_eloa
401104926,2019,-71.23282900689196,6,-1,0,1,-14.133333333333335,-14.133333333333335,3,1440.3158177087917,1511.5486467156836
401104927,2019,-97.42312217727545,4,0,0,0,-17.0,-17.0,4,1466.8424237990646,1564.26554597634
401104928,2019,-63.21877425644834,0,0,0,0,-4.466666666666667,-9.0,3,1494.695209123189,1557.9139833796373
401104929,2019,-72.0649817837002,-1,0,0,0,-13.3,-7.833333333333334,4,1428.5746895785144,1500.6396713622146
401104930,2019,-81.40783025294536,0,0,0,0,-8.0,-8.6,5,1495.9225772170282,1577.3304074699736
401104931,2019,63.14613856257665,0,0,0,0,11.5,11.5,4,1519.0880257700237,1455.941887207447
401104932,2019,-17.103562418337333,1,0,0,0,-8.05,-2.9166666666666665,4,1457.3478124700955,1474.4513748884328
401104933,2019,59.257269818182294,2,0,0,0,9.0,10.77142857142857,5,1578.1578176143935,1518.9005477962112
401104934,2019,38.752379642652386,-4,0,0,0,5.05,5.25,4,1556.4650844674059,1517.7127048247535
401104935,2019,109.26044258239995,0,0,0,0,10.4,11.533333333333333,5,1563.038004887831,1453.777562305431
401104936,2019,-125.63315497771669,1,0,0,0,-14.6,-14.314285714285713,5,1410.3138131445178,1535.9469681222345
401104937,2019,59.49826458388725,0,0,0,0,6.6000000000000005,7.595238095238095,6,1563.4584000021644,1503.960135418277
401104938,2019,-172.18065253909617,0,0,0,0,-20.8,-16.32142857142857,7,1420.9175774532314,1593.0982299923276
401104939,2019,-120.1798400999046,-1,0,0,0,-14.600000000000001,-13.55,5,1390.7017698053924,1510.881609905297
401104940,2019,114.63398572418896,0,0,0,0,13.4,13.833333333333334,6,1555.55901146136,1440.925025737171
401104941,2019,65.17115216609614,-1,0,0,0,4.8,6.514285714285714,5,1575.8905414560911,1510.719389289995
401104942,2019,-77.70495536435965,-1,0,0,0,-14.200000000000001,-11.8,5,1439.0829448552363,1516.787900219596
401104943,2019,36.82774046082318,0,0,0,0,-5.800000000000001,1.507936507936508,7,1606.932656058066,1570.1049155972428
401104944,2019,52.52356498584186,0,0,0,0,2.4,5.0,8,1548.6759358532652,1496.1523708674233
401104945,2019,-78.215520685412,0,0,0,0,-7.4,-9.166666666666666,6,1459.718474207409,1537.933994892821
401104946,2019,-125.5918352606709,-1,0,0,0,-5.0,-10.916666666666668,8,1416.9619128681961,1542.553748128867
401104947,2019,-108.16362773952665,2,0,0,0,-12.2,-14.222222222222221,7,1426.379121601288,1534.5427493408147
401104948,2019,45.71785862528213,0,0,0,0,10.0,6.402777777777778,8,1556.003416005156,1510.2855573798738
401104949,2019,-100.03182846781783,-1,0,0,0,-7.4,-6.888888888888889,9,1521.002327182335,1621.0341556501528
401104950,2019,-7.601638954788314,-3,0,0,0,0.0,1.4285714285714286,7,1517.2631483367861,1524.8647872915744
401104951,2019,46.10813302776501,3,0,0,0,6.2,7.733333333333334,6,1484.6214668424932,1438.5133338147282
401104952,2019,68.75904826258534,-2,0,0,0,8.6,9.914285714285715,7,1549.148369026029,1480.3893207634437
401104953,2019,4.690350528580666,-4,0,0,0,2.4000000000000004,-3.625,8,1411.7735019160737,1407.083151387493
401104954,2019,142.1861393824056,0,0,1,1,10.8,11.7,8,1558.5957223297967,1416.409582947391
401104955,2019,108.11733966222482,0,0,0,0,7.0,6.5,10,1636.064760983643,1527.9474213214182
