family,bucket,side,n,hit,roi,lo,hi
pace,pace mid,OVER,328,52.4390243902439,-5.307926829268292,-15.027591463414634,4.332393292682927
pace,pace mid,UNDER,328,47.5609756097561,-7.4420731707317085,-17.77515243902439,2.9154725609756116
pace,pace high,OVER,323,52.63157894736842,-4.662538699690403,-14.455185758513931,4.941795665634676
pace,pace high,UNDER,323,47.368421052631575,-6.60371517027864,-17.08049535603715,4.232585139318886
lgenv,lgenv low,OVER,327,54.43425076452599,-0.4434250764526002,-10.468654434250766,9.35802752293578
lgenv,lgenv low,UNDER,327,45.56574923547401,-11.69724770642202,-21.994036697247708,-1.2710244648318012
lgenv,lgenv mid,OVER,324,52.77777777777778,-4.169753086419752,-14.174382716049381,5.642361111111112
lgenv,lgenv mid,UNDER,324,47.22222222222222,-7.956790123456793,-18.50007716049383,2.7782407407407415
lgenv,lgenv high,OVER,325,48.0,-13.08,-22.825461538461543,-3.241923076923072
lgenv,lgenv high,UNDER,325,52.0,2.676923076923076,-7.8006153846153845,13.280615384615384
scoremodel,expTot low,OVER,591,52.28426395939086,-2.313028764805416,-9.99327411167513,5.225084602368866
scoremodel,expTot low,UNDER,591,47.71573604060914,-8.788494077834182,-16.593993231810487,-0.8437394247038912
scoremodel,expTot mid,OVER,590,50.0,-8.286440677966104,-15.642669491525425,-1.118601694915255
scoremodel,expTot mid,UNDER,590,50.0,-2.6559322033898316,-10.190296610169494,5.22648305084746
scoremodel,expTot high,OVER,590,53.050847457627114,-3.569491525423729,-10.920550847457626,3.6068220338983044
scoremodel,expTot high,UNDER,590,46.94915254237288,-7.654237288135595,-15.43563559322034,0.2710593220339033
