game_id,player,side,nfoul,t3,f3_h1,t2,times
401537464,Lauren Cox,away,1,,0,,1074
401537464,Nia Coffey,home,2,,0,1291.0,1170|1291
401537464,Nia Coffey defensive 3-seconds (technical,home,1,,0,,1318
401537464,Haley Jones,home,1,,0,,1828
401537464,Caitlin Bickle,away,5,1986.0,0,1897.0,1839|1897|1986|2182|2199
401537464,Stephanie White,away,1,,0,,2100
401537464,Laeticia Amihere,home,1,,0,,2153
401537464,Jayla Everett,away,3,2312.0,0,2287.0,2223|2287|2312
401507130,Tiffany Hayes,away,4,760.0,1,233.0,72|233|760|1445
401507130,NaLyssa Smith,home,4,1259.0,0,430.0,90|430|1259|1269
401507130,Brionna Jones,away,6,1893.0,0,726.0,124|726|1893|1914|2078|2154
401507130,Erica Wheeler,home,2,,0,1969.0,188|1969
401507130,Aliyah Boston,home,6,1092.0,1,795.0,217|795|1092|1344|2340|2352
401507130,Queen Egbo,home,3,1704.0,0,1457.0,478|1457|1704
401507130,Rebecca Allen,away,4,852.0,1,571.9,495|572|852|1687
401507130,Natisha Hiedeman,away,2,,0,2227.0,558|2227
401507130,Lexie Hull,home,1,,0,,609
401507130,Kristy Wallace,home,2,,0,1492.0,632|1492
401507130,Alyssa Thomas,away,3,1935.0,0,1269.0,695|1269|1935
401507130,Kelsey Mitchell,home,1,,0,,937
401507130,Olivia Nelson-Ododa,away,2,,0,1114.0,1104|1114
401507130,Victoria Vivians,home,3,1671.0,0,1647.0,1363|1647|1671
401507130,Victaria Saxton,home,2,,0,1753.0,1724|1753
401507130,Leigha Brown,away,1,,0,,1842
401507131,Ariel Atkins,home,4,2026.0,0,1242.0,84|1242|2026|2121
401507131,Betnijah Laney,away,2,,0,1353.0,110|1353
401507131,Brittney Sykes,home,3,1366.0,0,830.0,160|830|1366
401507131,Courtney Vandersloot,away,3,1358.0,0,960.0,333|960|1358
401507131,Breanna Stewart,away,4,1348.0,0,1281.0,907|1281|1348|1578
401507131,Stefanie Dolson,away,2,,0,2127.0,981|2127
401507131,Natasha Cloud,home,4,1641.0,0,1610.0,1165|1610|1641|2228
401507131,Jonquel Jones,away,1,,0,,1236
401507131,Shakira Austin,home,4,1883.0,0,1370.0,1322|1370|1883|2349
401507131,Epiphanny Prince,away,1,,0,,1680
401507131,Amanda Zahui B.,home,1,,0,,1690
401507131,Elena Delle Donne,home,1,,0,,2048
401507132,Rachel Banham,home,3,2273.0,0,2255.0,234|2255|2273
401507132,Morgan Bertsch,away,4,1357.0,0,1309.0,250|1309|1357|1936
401507132,Diamond Miller,home,2,,0,1254.0,358|1254
401507132,Rebekah Gardner,away,3,1830.0,0,1586.0,364|1586|1830
401507132,Tiffany Mitchell,home,1,,0,,487
401507132,Alanna Smith,away,4,1610.0,0,894.0,561|894|1610|1650
401507132,Kristine Anigwe,away,3,1861.0,0,822.0,592|822|1861
401507132,Kahleah Copper,away,2,,0,1008.0,831|1008
401507132,Marina Mabrey,away,1,,0,,1441
401507132,Napheesa Collier,home,2,,0,2051.0,1517|2051
401507132,Jessica Shepard,home,2,,0,2344.9,2300|2345
401507133,Chiney Ogwumike,home,4,1270.0,0,1017.0,161|1017|1270|2006
401507133,Lexie Brown,home,4,1178.9,1,913.0,252|913|1179|1224
401507133,Michaela Onyenwere,away,5,654.0,1,320.0,287|320|654|720|2144
401507133,Sug Sutton,away,3,2048.0,0,839.0,615|839|2048
401507133,Joyner Holmes,home,1,,0,,632
401507133,Karlie Samuelson,home,2,,0,1740.0,862|1740
401507133,Diana Taurasi,away,3,2167.0,0,1420.0,934|1420|2167
401507133,Brittney Griner,away,2,,0,1855.0,1024|1855
401507133,Evina Westbrook,away,3,2278.0,0,1518.0,1058|1518|2278
401507133,Jordin Canada,home,1,,0,,1427
401507133,Zia Cooke,home,1,,0,,1487
401507133,Nia Clouden,home,2,,0,1933.0,1742|1933
401507133,Dearica Hamby,home,2,,0,1875.0,1771|1875
401507133,Brianna Turner,away,2,,0,2192.0,2054|2192
401507133,Nneka Ogwumike,home,2,,0,2131.0,2081|2131
401507133,Moriah Jefferson,away,1,,0,,2100
401507135,Teaira McCowan,home,3,1136.0,1,696.0,9|696|1136
401507135,Allisha Gray,away,3,2282.0,0,1318.0,17|1318|2282
401507135,Rhyne Howard,away,5,2090.0,0,1435.0,62|1435|2090|2140|2243
401507135,Cheyenne Parker,away,2,,0,667.0,81|667
401507135,Veronica Burton,home,3,1903.0,0,888.0,169|888|1903
401507135,Naz Hillmon,away,3,1527.0,0,1158.9,271|1159|1527
401507135,Natasha Howard,home,3,2336.0,0,1582.0,381|1582|2336
401507135,Aari McDonald,away,4,1797.9,0,1367.0,720|1367|1798|2060
401507135,Maddy Siegrist,home,1,,0,,931
401507135,Satou Sabally,home,2,,0,2302.0,1001|2302
401507135,Danielle Robinson,away,1,,0,,1062
401507135,Awak Kuier,home,1,,0,,1185
401507135,Nia Coffey,away,2,,0,1883.0,1232|1883
401507135,Arike Ogunbowale,home,3,2008.0,0,1716.0,1398|1716|2008
401507135,Jasmine Dickey,home,1,,0,,1530
401507135,Crystal Dangerfield,home,1,,0,,2036
401507135,Nia Coffey personal,away,2,,0,2389.0,2373|2389
401507134,Kaila Charles,home,3,1903.0,0,340.0,272|340|1903
401507134,Jackie Young,away,3,1516.0,0,467.0,365|467|1516
401507134,Kia Nurse,home,1,,0,,541
401507134,Jewell Loyd,home,1,,0,,599
401507134,Ivana Dojkic,home,2,,0,1746.8,633|1747
401507134,Chelsea Gray,away,2,,0,2126.0,647|2126
401507134,Ezi Magbegor,home,3,1930.0,0,1185.0,799|1185|1930
401507134,Yvonne Turner,home,2,,0,1281.0,1057|1281
401507134,A'ja Wilson,away,1,,0,,1106
401507134,Jordan Horston,home,2,,0,2167.0,1172|2167
401507134,Kelsey Plum,away,1,,0,,1431
401507134,Kiah Stokes,away,1,,0,,1645
401507134,Alysha Clark,away,2,,0,1943.0,1777|1943
401507134,Candace Parker,away,2,,0,1913.0,1834|1913
401507134,Kierstan Bell,away,1,,0,,2093
401507134,Jade Melbourne,home,1,,0,,2181
401507134,Sydney Colson,away,1,,0,,2390
401507136,Natisha Hiedeman,home,3,1688.0,0,1669.0,12|1669|1688
401507136,Shakira Austin,away,4,2164.0,0,409.0,33|409|2164|2249
401507136,Alyssa Thomas,home,4,1370.0,0,1345.0,53|1345|1370|2188
401507136,Tiffany Hayes,home,1,,0,,145
401507136,Brionna Jones,home,5,868.0,1,464.0,232|464|868|1856|2383
401507136,DeWanna Bonner,home,3,1984.0,0,1540.0,324|1540|1984
401507136,Rebecca Allen,home,1,,0,,437
401507136,Tianna Hawkins,away,2,,0,1056.0,452|1056
