game_id,side,recon_ok,err,pts,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,opp_oreb,opp_dreb,opp_fga,opp_fgm,opp_tpa,opp_tpm,opp_fta,opp_pts,final
401507208,home,1,0,89,70,27,35,12,29,23,14,31,2,27,67,33,20,9,18,88,89
401507208,away,1,0,88,67,33,20,9,18,13,2,27,14,31,70,27,35,12,29,89,88
401507209,home,1,0,93,55,31,19,8,29,23,4,28,9,26,69,31,22,6,16,83,93
401507209,away,1,0,83,69,31,22,6,16,15,9,26,4,28,55,31,19,8,29,93,83
401507210,home,1,0,88,62,27,22,7,28,27,10,29,16,23,72,28,21,6,21,80,88
401507210,away,1,0,80,72,28,21,6,21,18,16,23,10,29,62,27,22,7,28,88,80
401507211,home,1,0,81,70,31,19,6,14,13,8,26,6,32,62,34,19,9,14,89,81
401507211,away,1,0,89,62,34,19,9,14,12,6,32,8,26,70,31,19,6,14,81,89
401507212,home,1,0,104,72,41,20,8,15,14,6,32,8,25,72,34,31,13,14,93,104
401507212,away,1,0,93,72,34,31,13,14,12,8,25,6,32,72,41,20,8,15,104,93
401507213,home,1,0,62,54,23,19,3,18,13,4,21,10,27,57,30,15,5,14,77,62
401507213,away,1,0,77,57,30,15,5,14,12,10,27,4,21,54,23,19,3,18,62,77
401507214,home,1,0,80,61,30,21,9,21,11,9,26,8,26,56,22,13,4,19,63,80
401507214,away,1,0,63,56,22,13,4,19,15,8,26,9,26,61,30,21,9,21,80,63
401507215,home,1,0,109,66,39,22,11,21,20,6,35,11,21,66,28,15,5,35,86,109
401507215,away,1,0,86,66,28,15,5,35,25,11,21,6,35,66,39,22,11,21,109,86
401507216,home,1,0,98,66,40,20,9,10,9,4,23,8,23,64,31,20,8,15,81,98
401507216,away,1,0,81,64,31,20,8,15,11,8,23,4,23,66,40,20,9,10,98,81
401507217,home,0,-1,84,63,34,18,5,16,11,5,25,13,20,64,24,17,6,10,63,85
401507217,away,0,0,63,64,24,17,6,10,9,13,20,5,25,63,34,18,5,16,84,63
401507218,home,0,0,97,74,34,26,13,19,16,13,35,7,29,73,35,29,10,25,100,97
401507218,away,0,1,100,73,35,29,10,25,20,7,29,13,35,74,34,26,13,19,97,99
401507219,home,1,0,94,66,33,13,7,27,21,7,24,8,26,62,32,18,3,26,89,94
401507219,away,1,0,89,62,32,18,3,26,22,8,26,7,24,66,33,13,7,27,94,89
401507220,home,1,0,86,62,37,15,7,9,5,8,23,10,20,62,28,13,4,23,78,86
401507220,away,1,0,78,62,28,13,4,23,18,10,20,8,23,62,37,15,7,9,86,78
401507221,home,1,0,102,69,36,22,7,26,23,11,31,4,20,65,33,19,6,19,84,102
401507221,away,1,0,84,65,33,19,6,19,12,4,20,11,31,69,36,22,7,26,102,84
401507222,home,1,0,76,58,30,18,6,18,10,9,26,7,23,64,31,18,6,22,86,76
401507222,away,1,0,86,64,31,18,6,22,18,7,23,9,26,58,30,18,6,18,76,86
401507223,home,1,0,112,65,37,21,9,34,29,6,34,6,27,60,28,18,5,30,84,112
401507223,away,1,0,84,60,28,18,5,30,23,6,27,6,34,65,37,21,9,34,112,84
401507225,home,1,0,89,68,33,22,6,23,17,15,39,5,19,68,24,24,4,25,72,89
401507225,away,1,0,72,68,24,24,4,25,20,5,19,15,39,68,33,22,6,23,89,72
401507224,home,1,0,87,65,35,17,5,18,12,9,26,9,22,67,34,29,12,16,89,87
401507224,away,1,0,89,67,34,29,12,16,9,9,22,9,26,65,35,17,5,18,87,89
401507226,home,1,0,66,58,23,24,9,14,11,8,25,8,29,67,33,23,8,8,81,66
401507226,away,1,0,81,67,33,23,8,8,7,8,29,8,25,58,23,24,9,14,66,81
401507227,home,1,0,99,60,32,24,11,28,24,6,24,3,22,64,34,18,9,22,95,99
401507227,away,1,0,95,64,34,18,9,22,18,3,22,6,24,60,32,24,11,28,99,95
401507228,home,1,0,90,54,27,20,7,34,29,8,18,10,20,68,33,16,4,14,83,90
401507228,away,1,0,83,68,33,16,4,14,13,10,20,8,18,54,27,20,7,34,90,83
401507229,home,1,0,89,64,30,20,9,24,20,7,32,13,26,78,33,24,6,12,82,89
401507229,away,1,0,82,78,33,24,6,12,10,13,26,7,32,64,30,20,9,24,89,82
401507230,home,1,0,79,63,29,22,6,22,15,4,29,3,36,62,33,23,10,23,90,79
401507230,away,1,0,90,62,33,23,10,23,14,3,36,4,29,63,29,22,6,22,79,90
401507231,home,1,0,93,60,34,13,9,17,16,6,24,9,22,60,26,23,8,17,73,93
401507231,away,1,0,73,60,26,23,8,17,13,9,22,6,24,60,34,13,9,17,93,73
401507232,home,0,0,96,61,29,21,7,37,31,10,21,5,23,60,33,19,10,19,89,96
401507232,away,0,1,89,60,33,19,10,19,13,5,23,10,21,61,29,21,7,37,96,88
401507233,home,1,0,68,61,25,23,7,15,11,6,25,10,32,67,33,17,6,13,82,68
401507233,away,1,0,82,67,33,17,6,13,10,10,32,6,25,61,25,23,7,15,68,82
401507234,home,1,0,80,64,32,14,3,18,13,10,26,5,20,56,27,26,10,17,78,80
401507234,away,1,0,78,56,27,26,10,17,14,5,20,10,26,64,32,14,3,18,80,78
401507235,home,1,0,75,62,28,19,7,15,12,10,28,5,25,57,23,20,6,14,64,75
401507235,away,1,0,64,57,23,20,6,14,12,5,25,10,28,62,28,19,7,15,75,64
401507236,home,1,0,80,60,27,30,13,15,13,4,26,15,33,73,29,32,6,14,76,80
401507236,away,1,0,76,73,29,32,6,14,12,15,33,4,26,60,27,30,13,15,80,76
401507237,home,1,0,92,61,33,26,13,21,13,4,20,5,26,60,33,17,7,15,84,92
401507237,away,1,0,84,60,33,17,7,15,11,5,26,4,20,61,33,26,13,21,92,84
401507238,home,1,0,76,63,30,14,3,17,13,11,24,9,24,60,27,13,2,26,77,76
401507238,away,1,0,77,60,27,13,2,26,21,9,24,11,24,63,30,14,3,17,76,77
401507239,home,0,0,78,60,30,16,5,15,13,10,27,8,22,64,26,22,9,14,73,78
401507239,away,0,1,73,64,26,22,9,14,12,8,22,10,27,60,30,16,5,15,78,72
401507240,home,1,0,89,61,36,16,9,15,8,5,21,7,27,70,43,38,17,14,113,89
401507240,away,1,0,113,70,43,38,17,14,10,7,27,5,21,61,36,16,9,15,89,113
401507241,home,1,0,77,68,30,22,6,16,11,8,22,13,29,69,35,16,6,15,88,77
401507241,away,1,0,88,69,35,16,6,15,12,13,29,8,22,68,30,22,6,16,77,88
401507242,home,0,0,93,65,36,25,9,16,12,6,25,8,23,65,30,29,11,17,85,93
401507242,away,0,-1,85,65,30,29,11,17,14,8,23,6,25,65,36,25,9,16,93,86
401507243,home,1,0,98,70,36,25,9,22,17,3,32,8,30,67,27,19,6,14,72,98
401507243,away,1,0,72,67,27,19,6,14,12,8,30,3,32,70,36,25,9,22,98,72
401507244,home,1,0,87,78,32,20,6,21,17,8,32,8,39,74,31,36,12,24,95,87
401507244,away,1,0,95,74,31,36,12,24,21,8,39,8,32,78,32,20,6,21,87,95
401507245,home,1,0,72,61,25,20,8,18,14,7,24,8,22,62,34,19,6,17,84,72
401507245,away,1,0,84,62,34,19,6,17,10,8,22,7,24,61,25,20,8,18,72,84
401507246,home,1,0,67,66,28,22,6,8,5,10,18,12,31,76,41,27,10,19,107,67
401507246,away,1,0,107,76,41,27,10,19,15,12,31,10,18,66,28,22,6,8,67,107
401507247,home,1,0,85,66,32,18,4,21,17,9,36,5,27,65,25,21,7,26,75,85
401507247,away,1,0,75,65,25,21,7,26,18,5,27,9,36,66,32,18,4,21,85,75
401507248,home,1,0,78,73,34,19,4,8,6,12,24,5,29,65,37,22,9,16,97,78
401507248,away,1,0,97,65,37,22,9,16,14,5,29,12,24,73,34,19,4,8,78,97
401558893,home,1,0,127,114,50,68,21,6,6,16,31,19,45,116,58,68,21,6,143,127
401558893,away,1,0,143,116,58,68,21,6,6,19,45,16,31,114,50,68,21,6,127,143
401507249,home,1,0,82,68,29,33,13,15,11,8,29,7,30,62,25,22,6,21,73,82
401507249,away,1,0,73,62,25,22,6,21,17,7,30,8,29,68,29,33,13,15,82,73
401507250,home,1,0,72,58,26,25,11,10,9,5,28,6,26,55,22,16,6,21,66,72
401507250,away,1,0,66,55,22,16,6,21,16,6,26,5,28,58,26,25,11,10,72,66
401507251,home,1,0,76,65,29,27,8,14,10,6,26,6,26,58,28,23,8,21,82,76
401507251,away,1,0,82,58,28,23,8,21,18,6,26,6,26,65,29,27,8,14,76,82
401507252,home,1,0,88,67,32,30,13,12,11,8,28,12,28,77,38,15,7,23,98,88
401507252,away,1,0,98,77,38,15,7,23,15,12,28,8,28,67,32,30,13,12,88,98
401507253,home,1,0,82,63,29,23,11,18,13,7,26,10,29,55,25,18,7,19,71,82
401507253,away,1,0,71,55,25,18,7,19,14,10,29,7,26,63,29,23,11,18,82,71
401507254,home,1,0,73,67,30,23,6,12,7,6,30,7,32,60,25,21,7,16,70,73
401507254,away,1,0,70,60,25,21,7,16,13,7,32,6,30,67,30,23,6,12,73,70
401507255,home,1,0,80,62,31,20,9,10,9,11,29,15,22,72,26,21,2,13,62,80
401507255,away,1,0,62,72,26,21,2,13,8,15,22,11,29,62,31,20,9,10,80,62
401507256,home,1,0,63,58,24,25,7,18,8,6,27,7,33,62,29,19,7,19,79,63
