game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop
401104984,2019,-2.0,136.0,0.0345,-0.0743,19.4,0,0,0,1.86,0.81,155.36,0.0078,0.0537,-0.0315,-0.0197,-0.0673,2.38,-0.1299,0.0542
401104985,2019,8.0,172.0,0.105,0.1095,33.1,0,1,0,4.96,4.93,166.72,0.0105,-0.0146,0.109,-0.0828,-0.0432,1.12,0.2549,-0.2082
401104986,2019,17.0,153.0,0.3245,0.3548,87.2,0,0,0,9.62,1.21,160.72,0.0161,-0.0292,0.0335,-0.0115,0.0154,0.3,-0.1767,0.5895
401104987,2019,-1.0,167.0,0.2301,0.2447,56.9,0,0,0,1.73,-6.26,160.04,0.0192,0.0222,0.0029,0.0271,0.0423,-0.74,0.0297,0.2347
401104988,2019,-20.0,132.0,-0.0005,0.0289,-21.8,0,0,0,6.35,-4.41,156.96,0.0139,0.0333,0.0581,0.0581,-0.0327,-0.1,-0.1487,0.262
401104989,2019,-4.0,156.0,0.1908,0.1992,44.0,0,3,0,0.83,-6.07,159.82,-0.0082,-0.0495,0.0318,0.0482,0.0581,-1.99,-0.1301,0.3737
401104990,2019,-11.0,143.0,0.3252,0.3711,94.2,0,-1,0,10.85,-1.69,157.39,-0.0038,0.0046,0.0059,0.0001,0.0124,-0.85,0.1372,0.3211
401104992,2019,-3.0,145.0,-0.131,-0.1282,28.9,0,1,0,-15.34,0.01,161.96,-0.0157,-0.0074,-0.0133,-0.005,-0.0024,1.55,-0.5493,0.5498
401104993,2019,-32.0,148.0,-0.2957,-0.3156,-47.6,0,-3,0,-1.18,-3.97,168.25,-0.0224,0.0165,-0.0756,0.0588,-0.0459,-0.55,-0.1598,-0.1603
401104994,2019,17.0,179.0,-0.4806,-0.3775,-114.8,0,0,0,-25.74,2.23,163.2,0.0413,0.0126,-0.029,-0.057,-0.0009,-3.79,-0.3324,-0.0303
401104995,2019,12.0,144.0,0.2328,0.1495,24.7,0,3,0,0.72,6.24,157.38,0.009,-0.0686,-0.0432,-0.0112,0.072,2.59,-0.1006,0.3022
401104996,2019,2.0,128.0,0.2137,0.2223,69.4,0,0,0,11.86,-1.99,156.21,-0.0336,-0.0859,0.0387,0.0249,0.0316,-2.42,0.0947,0.1724
401104997,2019,12.0,136.0,-0.2611,-0.2755,-69.6,0,0,0,-13.46,-5.5,158.24,0.0042,0.0572,0.0415,-0.0079,-0.0825,-1.09,-0.2333,-0.0591
401104998,2019,3.0,153.0,-0.204,-0.2148,-112.1,0,-1,0,5.14,-2.03,159.89,-0.0061,0.0036,-0.0082,0.0309,-0.022,-0.18,0.0703,-0.3295
401104999,2019,-23.0,159.0,0.3698,0.2688,92.7,0,0,0,7.69,4.14,156.98,-0.006,0.0,-0.0157,0.0321,0.017,4.29,0.2501,0.0795
401105000,2019,-3.0,145.0,-0.2927,-0.3226,-35.4,0,2,0,-10.99,-6.69,164.62,-0.0085,0.0594,-0.1048,0.0477,-0.0561,-4.23,-0.0587,-0.3412
401105001,2019,-1.0,145.0,-0.095,-0.1045,-42.5,0,-1,0,-11.46,1.23,162.24,-0.0052,-0.0567,-0.0543,0.0255,0.029,-0.34,-0.0234,-0.0669
401105002,2019,-6.0,174.0,-0.0097,-0.0381,1.4,0,-1,0,-8.17,-1.74,160.47,-0.0251,-0.0071,0.0459,-0.0653,-0.0216,-1.77,0.1985,-0.3352
401105003,2019,7.0,113.0,-0.3169,-0.3307,-95.0,0,0,0,-7.49,-2.05,159.48,0.0184,0.0217,-0.001,0.0463,0.0099,1.14,-0.3753,0.0815
401105004,2019,15.0,143.0,-0.1862,-0.1797,8.4,0,0,0,-22.1,4.04,156.94,0.047,0.0554,0.0146,-0.0311,0.0238,3.52,-0.1126,-0.0036
401105005,2019,16.0,182.0,0.2935,0.2432,30.7,0,-3,0,-0.39,-0.29,164.18,0.002,-0.0309,0.0006,0.0506,0.0267,-0.26,-0.003,0.2703
401105006,2019,14.0,176.0,0.0439,0.0269,43.1,0,2,0,-0.12,1.73,154.27,0.0084,-0.0176,0.0008,0.0181,-0.0051,0.15,-0.0236,0.0133
401105007,2019,-4.0,166.0,0.079,-0.0069,22.6,0,0,0,-5.35,-5.86,165.03,-0.0283,-0.0101,-0.0814,0.1425,-0.0631,-0.79,0.1711,-0.2355
401105008,2019,-5.0,147.0,-0.1936,-0.2564,-66.9,0,0,0,-7.36,-3.63,159.15,0.0075,0.0102,0.0599,0.0181,-0.041,1.01,-0.0132,-0.3207
401105009,2019,-13.0,139.0,-0.0228,-0.0353,-50.5,0,0,0,2.82,-0.21,160.58,-0.0171,-0.0021,-0.0057,-0.0491,0.0142,-2.36,0.3866,-0.534
401105010,2019,-10.0,168.0,-0.2255,-0.2884,-41.0,0,0,0,-6.87,-7.12,159.36,0.016,0.0894,-0.001,0.0173,0.012,0.19,-0.1016,-0.2601
401105011,2019,13.0,137.0,0.113,0.1104,4.0,0,0,0,0.25,2.29,154.47,0.0241,0.0648,-0.0058,-0.0545,0.0119,1.82,-0.0732,0.2006
401105012,2019,9.0,147.0,0.1799,0.1458,66.1,0,0,0,8.34,-5.05,160.74,0.0163,0.0321,0.006,0.0908,0.0175,1.17,-0.1628,0.4508
401105013,2019,1.0,153.0,0.3867,0.4359,62.5,0,0,0,4.3,3.74,160.93,-0.0028,-0.1177,-0.0243,-0.0159,0.1087,-1.59,0.1443,0.4257
401105014,2019,5.0,133.0,0.0382,0.1249,73.1,0,0,0,6.28,-0.65,152.08,-0.0275,-0.0908,-0.0293,0.0086,-0.0549,-0.66,-0.0771,0.1953
