game_id,matchup_diff,margin,season
401507338,5.2376456549570705,9.0,2023
401507339,4.279350800259701,18.0,2023
401507340,-2.382969145434267,11.0,2023
401507341,1.203699620668724,-1.0,2023
401507342,4.099184448347364,10.0,2023
401507343,1.7221422982620247,9.0,2023
401507344,-1.456861714754223,-11.0,2023
401507345,2.1216271343726643,-10.0,2023
401507346,1.8190265351934096,31.0,2023
401507347,-1.1207204196104352,6.0,2023
401507348,-2.7257177143936495,26.0,2023
401507349,-4.723460799980685,-17.0,2023
401507350,-1.481419747928383,-13.0,2023
401507351,3.5617357231388356,13.0,2023
401507352,2.668858955960312,8.0,2023
401507353,0.7269190918468618,14.0,2023
401507354,-1.400331005513296,-27.0,2023
401507355,-7.966807585866537,-1.0,2023
401507356,-1.045017037481811,-23.0,2023
401507357,-1.587510245194648,11.0,2023
401507358,3.0926128929306174,7.0,2023
401507359,1.7197299145336014,17.0,2023
401507360,-3.039363778957739,-5.0,2023
401507361,-1.0904093373942054,5.0,2023
401507362,-5.472140986043124,15.0,2023
401507363,-3.7309949900905606,-21.0,2023
401507364,5.219347934828402,-17.0,2023
401507365,2.338495349310899,-11.0,2023
401507366,-3.432616085612578,15.0,2023
401507367,5.159596449639742,-2.0,2023
401507368,4.845315052126544,15.0,2023
401507369,1.2532391037816875,-2.0,2023
401578549,-0.7971539151922115,30.0,2023
401578550,-0.4341748914552992,28.0,2023
401578551,3.4982765824091784,15.0,2023
401578552,-4.380814638473135,12.0,2023
401578553,0.6300734703129094,-7.0,2023
401578554,0.4393154618520255,22.0,2023
401578555,2.6255575553396104,5.0,2023
401578556,-3.9650646875746873,27.0,2023
401578557,0.16415296992939932,-15.0,2023
401578561,1.7796079963271878,-15.0,2023
401578562,4.894568006607079,14.0,2023
401578563,0.6842641386388209,7.0,2023
401578564,5.219416763629478,7.0,2023
401578565,-0.02019056399355068,-11.0,2023
401578566,-5.819285771133119,-3.0,2023
401578567,-0.250471031398358,-3.0,2023
401578571,1.5258856052638186,17.0,2023
401578572,2.0637677079836623,28.0,2023
