game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv
401507156,2023,-5.0,179.0,-0.5105,-0.6367,-82.9,-4.889,-2,0,-20.53,1.04,172.35,0.0078,0.0534,0.0766,-0.1058,-0.0921,-4.0,-0.5312,-0.0883,-0.6159,-0.7054,1.0702,-0.0425,-1.1342,0.0159,0,-0.7159,-0.5927,0.0076,0.0585,-0.9453,158.0
401507157,2023,-1.0,153.0,-0.1062,-0.2488,12.3,-1.201,0,0,-5.5,2.83,161.15,-0.0142,0.0619,-0.0386,-0.1423,-0.0157,0.31,0.3339,-0.7195,-0.4517,-0.0978,0.7037,-0.0245,-0.0955,-0.0351,1,-0.2998,-0.0847,0.0796,0.2047,-0.1272,158.55
401507158,2023,-6.0,192.0,-0.0168,0.006,-27.9,0.395,0,0,-5.04,-5.34,164.09,0.0689,0.0075,0.1071,0.0952,-0.0454,-0.86,-0.3035,0.4389,-0.0026,-0.2726,1.9553,0.0771,3.6343,-0.0917,1,0.1951,-0.4128,-0.0166,-0.1949,-0.3678,158.41
401507159,2023,-2.0,158.0,0.2325,0.2361,62.2,3.583,-1,1,9.83,1.98,164.06,-0.0017,-0.0694,-0.0064,0.0377,-0.0302,3.04,0.0163,0.3336,-0.0216,0.4986,0.6114,0.0807,1.1084,-0.2655,0,0.2282,0.311,-0.0209,0.1308,0.3547,159.25
401507160,2023,7.0,177.0,0.228,0.3249,70.5,10.575,-3,1,14.97,3.26,167.94,0.0264,-0.0323,-0.0247,-0.014,0.059,-1.33,0.4978,-0.2863,0.2889,0.3732,0.8633,0.0492,-2.986,0.0168,0,0.2018,0.1173,-0.1488,-0.059,0.1329,159.22
401507161,2023,6.0,154.0,0.1104,0.1556,37.6,4.881,1,0,-0.58,-3.65,163.81,0.0233,0.0042,0.0577,-0.0628,0.0142,-0.82,0.2082,-0.052,0.0606,0.2372,0.5556,-0.095,0.3451,0.032,1,0.0717,0.0402,-0.0021,-0.1651,-0.0677,159.64
401507162,2023,-4.0,168.0,0.2213,0.2018,-2.8,-0.404,0,0,8.04,-2.23,160.14,0.0055,-0.0857,0.0291,0.1379,-0.0257,0.56,0.1641,-0.0292,0.3627,0.0556,-1.3864,0.0447,0.7821,0.0628,0,0.2393,0.1722,-0.2481,-0.1989,-0.0229,159.51
401507163,2023,-4.0,164.0,-0.5451,-0.6447,-102.0,-5.349,3,0,-23.46,-4.09,167.79,0.0287,0.0734,-0.0382,-0.0673,-0.0875,-3.8,-0.4791,-0.2053,-0.5309,-0.9484,5.8947,-0.098,-1.8287,-0.0445,1,-0.6329,-0.6586,0.1441,-0.0826,-0.9546,159.7
401507164,2023,-6.0,174.0,-0.2782,-0.2593,-32.9,1.391,0,0,-11.23,-4.36,165.51,0.0393,0.0959,0.0564,-0.0676,-0.0273,-3.63,-0.618,0.4395,-0.1777,-0.2881,3.9563,-0.0459,-1.8992,-0.1562,2,-0.5289,-0.4807,0.1507,-0.0506,-0.5653,159.8
401507165,2023,5.0,211.0,0.1566,0.1371,58.6,1.285,0,0,3.46,-0.2,163.71,0.0121,0.0249,-0.001,-0.0174,0.0448,1.42,0.1478,-0.011,-0.0151,0.3134,-4.3299,0.0298,1.7444,0.0305,0,-0.0356,0.2168,-0.0341,0.1003,0.2301,160.11
