season,match,hscore,ascore,odd_home,odd_away
2026,los-angeles-sparks-minnesota-lynx,83,99,4.91,1.17
2026,phoenix-mercury-las-vegas-aces,76,86,3.13,1.36
2026,portland-fire-seattle-storm,94,89,1.53,2.49
2026,indiana-fever-toronto-tempo,113,91,1.23,4.03
2026,dallas-wings-las-vegas-aces,96,66,2.29,1.62
2026,golden-state-valkyries-los-angeles-sparks,78,58,1.46,2.70
2026,minnesota-lynx-portland-fire,107,74,1.08,7.66
2026,connecticut-sun-indiana-fever,75,85,4.05,1.24
2026,las-vegas-aces-minnesota-lynx,100,97,1.60,2.32
2026,new-york-liberty-washington-mystics,86,64,1.10,6.64
2026,portland-fire-dallas-wings,84,83,2.33,1.60
2026,toronto-tempo-atlanta-dream,77,102,3.20,1.34
2026,seattle-storm-golden-state-valkyries,72,76,4.34,1.21
2026,washington-mystics-toronto-tempo,86,85,1.81,1.99
2026,atlanta-dream-new-york-liberty,90,104,1.61,2.31
2026,dallas-wings-phoenix-mercury,85,70,1.36,3.10
2026,portland-fire-las-vegas-aces,89,105,5.02,1.17
2026,seattle-storm-los-angeles-sparks,83,88,3.47,1.30
2026,chicago-sky-atlanta-dream,75,82,4.07,1.23
2026,golden-state-valkyries-phoenix-mercury,87,81,1.29,3.57
2026,minnesota-lynx-dallas-wings,100,76,1.52,2.51
2026,connecticut-sun-new-york-liberty,80,89,6.04,1.12
2026,las-vegas-aces-seattle-storm,101,91,1.07,8.57
2026,washington-mystics-indiana-fever,76,78,2.82,1.42
2026,los-angeles-sparks-portland-fire,89,72,1.33,3.29
2026,atlanta-dream-washington-mystics,109,77,1.22,4.14
2026,new-york-liberty-indiana-fever,83,75,1.63,2.26
2026,toronto-tempo-chicago-sky,85,68,1.59,2.35
2026,chicago-sky-connecticut-sun,85,80,1.37,3.07
2026,las-vegas-aces-golden-state-valkyries,84,79,1.63,2.27
2026,los-angeles-sparks-dallas-wings,96,104,2.10,1.73
2026,minnesota-lynx-seattle-storm,88,68,1.09,7.03
2026,portland-fire-phoenix-mercury,72,78,1.54,2.47
2026,indiana-fever-atlanta-dream,83,71,1.88,1.90
2026,minnesota-lynx-golden-state-valkyries,87,84,1.59,2.34
2026,new-york-liberty-toronto-tempo,97,82,1.26,3.75
2026,seattle-storm-phoenix-mercury,68,72,3.22,1.34
2026,atlanta-dream-connecticut-sun,91,75,1.09,7.42
2026,golden-state-valkyries-portland-fire,95,77,1.25,3.95
2026,los-angeles-sparks-las-vegas-aces,69,79,3.27,1.33
2026,washington-mystics-chicago-sky,90,72,2.07,1.75
2026,dallas-wings-seattle-storm,79,56,1.13,5.79
2026,phoenix-mercury-minnesota-lynx,77,111,2.19,1.67
2026,connecticut-sun-los-angeles-sparks,84,81,2.39,1.56
2026,golden-state-valkyries-las-vegas-aces,81,91,2.07,1.75
2026,portland-fire-indiana-fever,100,84,4.98,1.17
2026,chicago-sky-minnesota-lynx,58,79,2.50,1.53
2026,new-york-liberty-phoenix-mercury,75,68,1.44,2.76
2026,portland-fire-atlanta-dream,66,86,3.88,1.25
2026,toronto-tempo-seattle-storm,93,72,1.42,2.85
2026,washington-mystics-los-angeles-sparks,87,92,1.69,2.15
2026,dallas-wings-las-vegas-aces,95,87,2.66,1.47
2026,golden-state-valkyries-indiana-fever,90,88,1.74,2.08
2026,chicago-sky-toronto-tempo,104,111,1.49,2.58
2026,minnesota-lynx-atlanta-dream,96,81,2.22,1.65
2026,new-york-liberty-phoenix-mercury,84,74,1.53,2.47
2026,portland-fire-connecticut-sun,71,61,1.35,3.18
2026,seattle-storm-washington-mystics,64,78,2.34,1.59
2026,golden-state-valkyries-connecticut-sun,97,70,1.10,6.65
2026,new-york-liberty-portland-fire,74,81,1.19,4.62
2026,seattle-storm-washington-mystics,97,85,2.57,1.50
2026,atlanta-dream-phoenix-mercury,82,80,1.43,2.81
2026,las-vegas-aces-los-angeles-sparks,95,101,1.23,4.13
2026,new-york-liberty-dallas-wings,76,91,1.39,2.94
2026,toronto-tempo-portland-fire,80,99,1.47,2.66
2026,atlanta-dream-dallas-wings,86,69,1.44,2.76
2026,chicago-sky-minnesota-lynx,75,85,2.03,1.78
2026,indiana-fever-golden-state-valkyries,90,82,1.45,2.73
2026,seattle-storm-connecticut-sun,77,59,1.74,2.07
2026,minnesota-lynx-toronto-tempo,100,72,1.41,2.86
2026,new-york-liberty-golden-state-valkyries,70,87,1.39,2.96
2026,phoenix-mercury-los-angeles-sparks,88,97,1.69,2.15
2026,chicago-sky-dallas-wings,89,99,2.23,1.65
2026,indiana-fever-portland-fire,90,73,1.20,4.48
2026,seattle-storm-connecticut-sun,78,80,1.70,2.14
2026,phoenix-mercury-toronto-tempo,90,98,1.29,3.58
2026,dallas-wings-washington-mystics,92,69,1.53,2.48
2026,portland-fire-connecticut-sun,83,82,1.56,2.40
2026,indiana-fever-seattle-storm,89,78,1.14,5.46
2026,los-angeles-sparks-toronto-tempo,96,106,1.29,3.53
2026,minnesota-lynx-chicago-sky,79,86,1.40,2.91
2026,atlanta-dream-las-vegas-aces,84,85,2.34,1.59
2026,connecticut-sun-las-vegas-aces,94,101,8.25,1.07
2026,los-angeles-sparks-toronto-tempo,99,95,1.29,3.59
2026,phoenix-mercury-chicago-sky,91,83,1.52,2.49
2026,dallas-wings-minnesota-lynx,86,90,1.57,2.37
2026,portland-fire-new-york-liberty,82,100,5.36,1.15
2026,connecticut-sun-las-vegas-aces,69,98,7.69,1.08
2026,golden-state-valkyries-chicago-sky,63,69,1.39,2.95
2026,los-angeles-sparks-indiana-fever,78,87,1.91,1.88
2026,toronto-tempo-seattle-storm,86,73,1.64,2.23
2026,dallas-wings-atlanta-dream,72,77,2.01,1.79
2026,phoenix-mercury-minnesota-lynx,84,88,1.47,2.67
2026,portland-fire-new-york-liberty,98,96,6.20,1.12
2026,golden-state-valkyries-phoenix-mercury,95,79,1.70,2.14
2026,los-angeles-sparks-las-vegas-aces,78,105,2.03,1.78
2026,connecticut-sun-seattle-storm,82,89,1.77,2.03
2026,minnesota-lynx-atlanta-dream,90,91,2.76,1.44
2026,portland-fire-chicago-sky,83,98,2.74,1.45
2026,indiana-fever-dallas-wings,104,107,1.40,2.89
2026,las-vegas-aces-phoenix-mercury,66,99,1.21,4.29
2026,new-york-liberty-connecticut-sun,106,75,1.16,5.19
2026,seattle-storm-golden-state-valkyries,80,91,2.89,1.41
2026,toronto-tempo-washington-mystics,65,68,1.81,1.98
